"","Colony","Week","Treatment","Agegroup_focal","Choice","EorN_focal","Forager_ID","Date.x","Decision_time","TouchIBtiny","TouchLStiny","Prop_exp","Num_tinies","X.x","Num_outbound_IB","Num_outbound_LS","Outbound_propIB","X.y","AgeGroup","timepoint","Date.y","Day","IB_taken","Total_Leaves","Source.x","Source.y","prev_IB_attempts","Prop_IB","TinyBinary","Choice_bin"
"405","60601",15,"Control",4,"IB","Naive","IB1",20171008,1097.985,0,0,0,0,416,0,1,0,758,4,15,20171008,105,2,31,"notebook","notebook",13,0.0645161290322581,"Absent",1
"406","60601",15,"Control",4,"IB","Naive","IB2",20171008,1255.592,0,0,0,0,417,0,0,NA,758,4,15,20171008,105,2,31,"notebook","notebook",13,0.0645161290322581,"Absent",1
"407","60601",15,"Control",4,"LS","Naive","LS2",20171008,672.818,0,0,0,0,418,0,0,NA,758,4,15,20171008,105,2,31,"notebook","notebook",13,0.0645161290322581,"Absent",0
"408","60601",15,"Control",4,"LS","Naive","LS4",20171008,814.814,0,0,0,0,419,0,2,0,758,4,15,20171008,105,2,31,"notebook","notebook",13,0.0645161290322581,"Absent",0
"409","60601",15,"Control",4,"LS","Naive","LS7",20171008,935.258,0,0,0,0,420,0,1,0,758,4,15,20171008,105,2,31,"notebook","notebook",13,0.0645161290322581,"Absent",0
"410","62001",3,"Control",1,"IB","Experienced","IB1",20170716,208.027,0,0,0.933333333333333,0,421,1,0,1,770,1,6,20170716,21,56,108,"Boris.og","Boris.og",214,0.518518518518518,"Absent",1
"411","62001",3,"Control",1,"IB","Experienced","IB2",20170716,709.83,0,0,1,0,422,3,0,1,770,1,6,20170716,21,56,108,"Boris.og","Boris.og",214,0.518518518518518,"Absent",1
"412","62001",3,"Control",1,"IB","Experienced","IB4",20170716,1054.249,0,0,1,0,423,1,0,1,770,1,6,20170716,21,56,108,"Boris.og","Boris.og",214,0.518518518518518,"Absent",1
"413","62001",3,"Control",1,"LS","Experienced","LS2",20170716,452.176,0,0,1,0,424,0,1,0,770,1,6,20170716,21,56,108,"Boris.og","Boris.og",214,0.518518518518518,"Absent",0
"414","62001",3,"Control",1,"LS","Experienced","LS3",20170716,750.208,0,0,0.857142857142857,0,425,0,1,0,770,1,6,20170716,21,56,108,"Boris.og","Boris.og",214,0.518518518518518,"Absent",0
"415","62001",3,"Control",1,"LS","Experienced","LS4",20170716,873.795,0,0,1,0,426,0,1,0,770,1,6,20170716,21,56,108,"Boris.og","Boris.og",214,0.518518518518518,"Absent",0
"416","62001",7,"Control",1,"IB","Experienced","IB1",20170813,394.587,0,0,1,0,427,0,0,NA,774,1,10,20170813,49,52,109,"Boris.og","Boris.og",375,0.477064220183486,"Absent",1
"417","62001",7,"Control",1,"IB","Experienced","IB2",20170813,491.35,0,0,0.9,0,428,1,0,1,774,1,10,20170813,49,52,109,"Boris.og","Boris.og",375,0.477064220183486,"Absent",1
"418","62001",7,"Control",1,"IB","Experienced","IB5",20170813,1320.412,0,0,1,0,429,0,1,0,774,1,10,20170813,49,52,109,"Boris.og","Boris.og",375,0.477064220183486,"Absent",1
"419","62001",7,"Control",1,"LS","Experienced","LS1",20170813,404.806,0,0,0.933333333333333,0,430,0,0,NA,774,1,10,20170813,49,52,109,"Boris.og","Boris.og",375,0.477064220183486,"Absent",0
"420","62001",7,"Control",1,"LS","Experienced","LS3",20170813,877.464,0,1,0.833333333333333,1,431,0,0,NA,774,1,10,20170813,49,52,109,"Boris.og","Boris.og",375,0.477064220183486,"Preset",0
"421","62001",7,"Control",1,"LS","Experienced","LS4",20170813,976.267,0,0,1,0,432,0,0,NA,774,1,10,20170813,49,52,109,"Boris.og","Boris.og",375,0.477064220183486,"Absent",0
"422","62001",11,"Control",1,"IB","Experienced","IB3",20170910,884.042,0,0,0.666666666666667,0,434,0,1,0,777,1,13,20170910,77,10,30,"Boris.og","Boris.og",482,0.333333333333333,"Absent",1
"423","62001",11,"Control",1,"LS","Experienced","LS4",20170910,1417.344,0,0,0.333333333333333,0,437,0,0,NA,777,1,13,20170910,77,10,30,"Boris.og","Boris.og",482,0.333333333333333,"Absent",0
"424","62001",11,"Control",1,"LS","Experienced","LS5",20170910,1669.422,0,0,1,0,438,0,0,NA,777,1,13,20170910,77,10,30,"Boris.og","Boris.og",482,0.333333333333333,"Absent",0
"425","62001",11,"Control",2,"LS","Naive","LS3",20170910,896.991,0,0,0,0,436,0,2,0,792,2,13,20170910,77,0,7,"Boris.og","Boris.og",16,0,"Absent",0
"426","62001",11,"Control",3,"IB","Naive","IB2",20170910,543.768,0,0,0.333333333333333,0,433,1,1,0.5,797,3,13,20170910,77,3,5,"Boris.og","Boris.og",0,0.6,"Absent",1
"427","62001",11,"Control",3,"IB","Naive","IB4",20170910,1417.344,0,0,0.333333333333333,0,435,0,1,0,797,3,13,20170910,77,3,5,"Boris.og","Boris.og",0,0.6,"Absent",1
"428","62001",15,"Control",1,"LS","Experienced","LS1",20171008,77.506,0,0,0.25,0,442,0,0,NA,780,1,16,20171008,105,2,6,"Boris.og","Boris.og",492,0.333333333333333,"Absent",0
"429","62001",15,"Control",4,"IB","Naive","IB2",20171008,888.28,0,0,0.111111111111111,0,439,0,0,NA,802,4,16,20171008,105,6,19,"Boris.og","Boris.og",14,0.315789473684211,"Absent",1
"430","62001",15,"Control",4,"IB","Naive","IB5",20171008,1110.605,0,0,0,0,440,0,0,NA,802,4,16,20171008,105,6,19,"Boris.og","Boris.og",14,0.315789473684211,"Absent",1
"431","62001",15,"Control",4,"IB","Naive","IB7",20171008,1337.224,0,0,0,0,441,0,0,NA,802,4,16,20171008,105,6,19,"Boris.og","Boris.og",14,0.315789473684211,"Absent",1
"432","62001",15,"Control",4,"LS","Naive","LS10",20171008,1776.048,0,0,0,0,443,0,0,NA,802,4,16,20171008,105,6,19,"Boris.og","Boris.og",14,0.315789473684211,"Absent",0
"433","62001",15,"Control",4,"LS","Naive","LS4",20171008,265.192,0,0,0.5,0,444,0,5,0,802,4,16,20171008,105,6,19,"Boris.og","Boris.og",14,0.315789473684211,"Absent",0
"434","GreenTub",3,"CHX",1,"IB","Experienced","IB1",20170510,157.191,0,1,1,1,178,0,0,NA,843,1,5,20170510,21,2,33,"Boris.og","Boris.og",12,0.0606060606060606,"Preset",1
"435","GreenTub",3,"CHX",1,"IB","Experienced","IB2",20170510,739.033,2,0,1,2,179,0,1,0,843,1,5,20170510,21,2,33,"Boris.og","Boris.og",12,0.0606060606060606,"Preset",1
"436","GreenTub",3,"CHX",1,"LS","Experienced","LS3",20170510,432.894,1,0,1,1,180,0,2,0,843,1,5,20170510,21,2,33,"Boris.og","Boris.og",12,0.0606060606060606,"Preset",0
"437","GreenTub",3,"CHX",1,"LS","Experienced","LS5",20170510,950.975,1,0,1,1,181,0,1,0,843,1,5,20170510,21,2,33,"Boris.og","Boris.og",12,0.0606060606060606,"Preset",0
"438","GreenTub",7,"CHX",1,"IB","Experienced","IB4",20170607,1234.144,0,0,0.888888888888889,0,183,0,1,0,848,1,10,20170607,49,4,57,"Boris.og","Boris.og",33,0.0701754385964912,"Absent",1
"439","GreenTub",7,"CHX",1,"IB","Experienced","IB5",20170607,1344.691,0,0,0.75,0,184,0,2,0,848,1,10,20170607,49,4,57,"Boris.og","Boris.og",33,0.0701754385964912,"Absent",1
"440","GreenTub",7,"CHX",1,"LS","Experienced","LS2",20170607,563.852,0,0,0.846153846153846,0,185,0,1,0,848,1,10,20170607,49,4,57,"Boris.og","Boris.og",33,0.0701754385964912,"Absent",0
"441","GreenTub",7,"CHX",1,"LS","Experienced","LS8",20170607,1253.454,0,0,0.888888888888889,0,186,0,2,0,848,1,10,20170607,49,4,57,"Boris.og","Boris.og",33,0.0701754385964912,"Absent",0
"442","GreenTub",7,"CHX",1,"LS","Experienced","LS9",20170607,1686.072,0,0,0.666666666666667,0,187,0,0,NA,848,1,10,20170607,49,4,57,"Boris.og","Boris.og",33,0.0701754385964912,"Absent",0
"443","GreenTub",7,"CHX",4,"IB","Naive","IB3",20170607,526.349,0,0,0.833333333333333,0,182,0,1,0,859,4,10,20170607,49,1,2,"Boris.og","Boris.og",0,0.5,"Absent",1
"444","GreenTub",11,"CHX",1,"LS","Experienced","LS1",20170705,1343.454,2,0,0.777777777777778,2,189,0,1,0,852,1,14,20170705,77,3,65,"Boris.og","Boris.og",44,0.0461538461538462,"Preset",0
"445","GreenTub",11,"CHX",1,"IB","Experienced","IB1",20170705,475.375,1,0,1,1,188,1,1,0.5,852,1,14,20170705,77,3,65,"Boris.og","Boris.og",44,0.0461538461538462,"Preset",1
"446","GreenTub",15,"CHX",1,"IB","Experienced","IB1",20170802,172.972,0,0,1,0,190,0,1,0,856,1,18,20170802,105,3,32,"Boris.og","Boris.og",47,0.09375,"Absent",1
"447","GreenTub",15,"CHX",1,"IB","Experienced","IB2",20170802,500.556,0,0,1,0,191,0,2,0,856,1,18,20170802,105,3,32,"Boris.og","Boris.og",47,0.09375,"Absent",1
"448","GreenTub",15,"CHX",1,"IB","Experienced","IB3",20170802,516.666,0,0,1,0,192,0,0,NA,856,1,18,20170802,105,3,32,"Boris.og","Boris.og",47,0.09375,"Absent",1
"449","GreenTub",15,"CHX",1,"LS","Experienced","LS4",20170802,540.545,0,0,1,0,193,1,1,0.5,856,1,18,20170802,105,3,32,"Boris.og","Boris.og",47,0.09375,"Absent",0
"450","GreenTub",15,"CHX",1,"LS","Experienced","LS6",20170802,742.439,0,0,1,0,194,0,2,0,856,1,18,20170802,105,3,32,"Boris.og","Boris.og",47,0.09375,"Absent",0
"451","GreenTub",15,"CHX",1,"LS","Experienced","LS7",20170802,850.104,0,0,1,0,195,0,0,NA,856,1,18,20170802,105,3,32,"Boris.og","Boris.og",47,0.09375,"Absent",0
"452","GreenTub",19,"CHX",8,"LS","Naive","LS2",20170830,239.732,2,0,0,2,196,0,0,NA,863,8,22,20170830,133,0,9,"Boris.og","Boris.og",4,0,"Preset",0
"453","GreenTub",19,"CHX",8,"LS","Naive","LS8",20170830,1389.423,4,0,0.25,4,198,0,0,NA,863,8,22,20170830,133,0,9,"Boris.og","Boris.og",4,0,"Preset",0
"454","GreenTub",19,"CHX",9,"LS","Naive","LS3",20170830,409.885,3,0,0.2,3,197,0,1,0,864,9,22,20170830,133,0,5,"Boris.og","Boris.og",0,0,"Preset",0
